customer_id,last_purchase,frequency,monetary,recency
18102,"2011-12-09 11:50:00",145,580987.04,0
14646,"2011-12-08 12:12:00",145,526751.52,1
14156,"2011-11-30 10:54:00",144,303069.88,9
14911,"2011-12-08 15:54:00",373,272252.79,1
17450,"2011-12-01 13:29:00",51,244784.25,8
13694,"2011-12-06 09:32:00",143,195640.69,3
17511,"2011-12-07 10:12:00",60,172132.87,2
16446,"2011-12-09 09:15:00",2,168472.50,0
16684,"2011-12-05 14:06:00",55,147142.77,4
12415,"2011-11-15 14:22:00",24,144033.37,24
15061,"2011-12-06 12:06:00",127,126387.57,3
15311,"2011-12-09 12:00:00",207,114671.42,0
13089,"2011-12-07 09:02:00",203,113416.91,2
16029,"2011-11-01 10:27:00",106,109620.87,38
17949,"2011-12-08 18:46:00",116,107833.48,1
12931,"2011-11-18 12:39:00",57,92347.34,21
14298,"2011-12-01 13:12:00",82,91194.49,8
15769,"2011-12-02 13:52:00",46,88612.52,7
12346,"2011-01-18 10:01:00",12,77556.46,325
13798,"2011-12-08 15:51:00",110,75428.87,1
15838,"2011-11-28 14:00:00",34,73205.50,11
17841,"2011-12-08 12:07:00",211,68519.95,1
16754,"2010-12-02 17:38:00",29,65500.07,372
14088,"2011-11-29 16:16:00",16,64036.80,10
16422,"2011-11-22 14:00:00",108,61728.87,17
17389,"2011-12-09 09:38:00",61,57215.33,0
13081,"2011-11-28 10:54:00",28,56838.37,11
16013,"2011-12-06 10:36:00",84,56078.44,3
14680,"2011-11-14 16:59:00",58,55688.50,25
13093,"2011-03-09 12:14:00",55,54144.25,275
14096,"2011-12-05 17:17:00",17,53258.43,4
17850,"2010-12-02 15:27:00",155,51208.87,372
13408,"2011-12-08 09:05:00",106,50174.78,1
13777,"2011-12-09 12:25:00",61,49638.26,0
12748,"2011-12-09 12:20:00",322,49176.74,0
17404,"2011-12-05 16:26:00",21,47638.12,4
13881,"2011-12-06 12:50:00",43,45179.10,3
15749,"2011-04-18 13:20:00",3,44534.30,235
16705,"2011-12-09 12:08:00",42,43515.05,0
15098,"2011-06-10 15:33:00",3,39916.50,182
15039,"2011-11-30 11:31:00",93,39141.48,9
14031,"2011-12-02 17:13:00",44,39019.51,7
17675,"2011-12-08 18:03:00",70,37642.48,1
17381,"2011-12-01 11:59:00",38,36398.65,8
12921,"2011-11-30 16:22:00",74,35233.24,9
12471,"2011-12-07 15:43:00",71,35099.90,2
17677,"2011-12-08 09:56:00",54,35058.46,1
13902,"2010-03-17 13:09:00",5,34023.26,632
13767,"2011-12-07 15:00:00",73,33903.57,2
16210,"2011-12-08 12:36:00",33,33730.97,1
16779,"2011-12-07 14:54:00",53,32809.03,2
12678,"2011-10-28 13:04:00",15,32595.18,42
15856,"2011-12-05 17:09:00",52,32274.69,4
14258,"2011-11-30 15:27:00",25,32051.34,9
17428,"2011-12-09 09:45:00",45,31466.76,0
14606,"2011-12-08 19:28:00",184,29648.75,1
12709,"2011-11-24 15:38:00",32,29487.18,15
13078,"2011-12-06 15:36:00",57,29018.06,3
13098,"2011-12-08 14:14:00",28,28882.44,1
17940,"2011-10-21 13:27:00",14,28389.58,49
14527,"2011-12-07 12:19:00",121,27191.10,2
12681,"2011-11-25 11:33:00",44,26936.76,14
16333,"2011-12-02 12:19:00",22,26626.80,7
15513,"2011-11-06 14:36:00",35,26437.05,33
17865,"2011-11-09 12:08:00",46,26310.09,30
18251,"2011-09-13 15:03:00",9,26278.86,87
13802,"2011-07-24 10:54:00",19,26259.11,138
17857,"2011-12-05 13:13:00",23,25769.54,4
12731,"2011-11-16 11:59:00",17,25631.71,23
14062,"2011-11-30 10:04:00",24,25585.65,9
12939,"2011-10-06 14:33:00",20,25264.80,64
14895,"2011-12-02 09:23:00",38,25119.54,7
15498,"2011-12-07 12:48:00",44,24972.86,2
16525,"2011-12-07 15:07:00",48,24151.30,2
13001,"2011-12-05 14:51:00",33,24042.65,4
17920,"2011-12-05 14:29:00",54,23569.88,4
15640,"2011-12-05 14:35:00",29,23459.51,4
12409,"2011-09-22 10:38:00",7,23419.29,78
16133,"2011-12-06 11:24:00",56,22992.26,3
14607,"2011-11-24 10:35:00",20,22575.13,15
15159,"2011-12-08 12:05:00",34,22116.73,1
13340,"2011-10-25 13:15:00",12,22100.56,45
12621,"2011-12-08 11:25:00",35,22097.20,1
12482,"2010-05-12 16:51:00",27,21941.72,576
14051,"2011-12-09 10:20:00",37,21770.98,0
16839,"2011-12-01 09:03:00",44,21758.25,8
12753,"2011-11-17 10:52:00",6,21429.39,22
15615,"2011-11-29 14:42:00",47,21373.97,10
13319,"2011-12-04 13:34:00",58,21323.22,5
12682,"2011-12-06 10:00:00",51,20736.22,3
14866,"2011-11-29 11:45:00",17,20700.04,10
14667,"2011-11-29 11:30:00",54,20359.59,10
15251,"2011-11-30 15:02:00",21,20324.54,9
12477,"2011-11-17 09:51:00",9,20276.37,22
17706,"2011-12-05 13:34:00",31,20272.15,4
17243,"2011-12-08 13:26:00",69,20184.68,1
18008,"2011-09-30 15:17:00",23,19759.08,70
17340,"2011-11-10 10:45:00",18,19617.95,29
16843,"2011-10-28 09:06:00",35,19571.43,42
17139,"2011-11-24 10:12:00",25,19566.76,15
12540,"2011-11-20 11:31:00",32,19250.49,19
14194,"2011-12-05 10:38:00",36,18670.59,4
13113,"2011-12-09 12:49:00",37,18230.07,0
12557,"2011-11-23 16:59:00",8,18096.14,16
16746,"2011-12-05 12:33:00",42,18045.05,4
17581,"2011-12-09 12:21:00",43,17951.17,0
12901,"2011-12-01 10:07:00",28,17654.54,8
17377,"2011-11-16 11:17:00",78,17639.23,23
14952,"2011-10-11 10:33:00",32,17629.35,59
16652,"2011-10-12 09:38:00",16,17550.39,58
15189,"2011-12-08 13:22:00",46,17524.38,1
18172,"2011-11-25 11:12:00",52,17467.24,14
12357,"2011-11-06 16:07:00",2,17437.66,33
16019,"2011-10-24 11:51:00",27,17329.16,46
17416,"2011-11-10 12:47:00",22,17298.45,29
15078,"2011-12-02 15:41:00",52,17276.73,7
15523,"2011-09-16 16:29:00",16,17259.19,84
13027,"2011-08-18 09:39:00",19,17239.20,113
15808,"2011-02-06 14:33:00",21,17180.25,306
15125,"2011-11-14 13:57:00",24,17024.87,25
16656,"2011-11-17 14:43:00",30,16833.17,22
12433,"2011-12-09 10:02:00",10,16794.14,0
17735,"2011-12-07 16:47:00",26,16790.33,2
14277,"2011-11-24 15:01:00",8,16789.16,15
16553,"2011-06-29 15:42:00",33,16584.01,163
12454,"2011-10-14 17:13:00",4,16459.78,56
15358,"2011-12-05 09:04:00",42,16425.86,4
14961,"2011-11-29 09:42:00",22,16410.15,10
13225,"2011-12-06 13:29:00",16,16260.07,3
16180,"2011-08-31 16:28:00",13,16249.87,100
12980,"2011-07-05 09:34:00",21,16245.78,157
17107,"2011-11-06 14:14:00",10,16052.72,33
17716,"2011-11-17 12:00:00",24,15956.97,22
13199,"2011-12-06 12:30:00",66,15949.21,3
13564,"2010-12-20 16:50:00",36,15880.22,354
15044,"2011-11-20 13:20:00",32,15769.01,19
12971,"2011-12-06 12:20:00",116,15704.60,3
16191,"2011-12-07 11:26:00",24,15677.82,2
12949,"2011-11-09 11:25:00",22,15526.70,30
14769,"2011-12-07 10:24:00",17,15512.46,2
14849,"2011-11-18 10:58:00",43,15407.61,21
15768,"2011-08-16 10:48:00",34,15308.89,115
12472,"2011-11-07 14:01:00",19,14971.29,32
18092,"2011-12-07 13:14:00",18,14693.72,2
16126,"2011-11-10 16:03:00",15,14644.60,29
17133,"2011-11-24 12:27:00",12,14622.33,15
16873,"2011-12-05 12:05:00",12,14617.39,4
14543,"2011-11-11 12:45:00",39,14548.22,28
17448,"2010-06-28 13:58:00",41,14448.67,529
15482,"2011-11-24 10:46:00",18,14377.36,15
14733,"2011-11-23 15:39:00",15,14335.15,16
13488,"2011-11-22 14:41:00",23,14205.96,17
15601,"2011-11-28 15:15:00",30,14191.74,11
16713,"2011-11-21 12:36:00",32,14115.56,18
12647,"2011-11-17 12:56:00",35,14109.55,22
14299,"2011-12-01 16:05:00",27,14070.25,8
13178,"2011-11-13 16:14:00",21,14059.19,26
18223,"2011-12-05 09:11:00",26,14000.85,4
12435,"2011-09-21 09:06:00",6,13925.93,79
18087,"2011-02-22 10:43:00",16,13908.72,290
17589,"2011-10-10 16:58:00",18,13806.27,60
15005,"2011-11-24 12:25:00",56,13752.58,15
15382,"2011-11-25 10:58:00",12,13733.55,14
15093,"2011-11-21 13:09:00",23,13702.38,18
12989,"2011-12-06 15:28:00",33,13551.75,3
15291,"2011-11-14 11:02:00",39,13472.76,25
13629,"2011-11-16 13:21:00",19,13370.86,23
16558,"2011-12-09 10:20:00",38,13304.11,0
12744,"2011-10-14 14:54:00",8,13158.16,56
16923,"2011-11-27 13:00:00",32,13157.13,12
13090,"2011-12-01 12:39:00",23,13076.74,8
15738,"2011-11-21 08:26:00",41,13043.32,18
14049,"2011-11-23 12:20:00",13,13023.40,16
13097,"2011-11-07 10:43:00",27,13015.36,32
18225,"2011-12-06 13:27:00",26,13014.80,3
14110,"2011-12-06 12:26:00",33,12987.95,3
13969,"2011-12-02 15:11:00",35,12973.46,7
13668,"2011-12-07 12:11:00",35,12948.48,2
13316,"2011-11-02 13:40:00",10,12940.82,37
13952,"2011-05-06 09:00:00",14,12823.52,217
12714,"2011-11-30 15:43:00",12,12815.71,9
13468,"2011-12-08 10:39:00",72,12793.28,1
16549,"2011-11-29 15:06:00",34,12781.80,10
12451,"2011-11-29 08:40:00",8,12629.88,10
16161,"2011-12-08 12:10:00",43,12580.06,1
17017,"2011-12-07 09:32:00",29,12576.99,2
14040,"2011-10-30 12:42:00",35,12523.81,40
17858,"2011-12-04 11:56:00",30,12518.65,5
12583,"2011-12-07 08:07:00",27,12493.58,2
14936,"2011-11-06 10:30:00",12,12410.81,33
16000,"2011-12-07 12:17:00",3,12393.70,2
12476,"2011-11-24 12:40:00",18,12319.91,15
14735,"2011-12-06 12:09:00",55,12225.16,3
15144,"2011-12-01 15:12:00",29,12160.31,8
15465,"2011-11-20 10:11:00",32,12100.40,19
15194,"2011-12-06 15:10:00",28,12021.53,3
14415,"2011-12-08 14:38:00",23,11980.09,1
17364,"2011-12-09 09:00:00",28,11972.92,0
17044,"2011-11-14 14:28:00",12,11962.30,25
13458,"2011-12-02 15:29:00",16,11959.27,7
13854,"2011-12-01 09:06:00",39,11944.56,8
16258,"2011-10-25 13:30:00",15,11942.52,45
16523,"2011-12-08 09:06:00",28,11916.33,1
16814,"2011-11-25 13:27:00",36,11914.95,14
13687,"2010-09-27 16:30:00",1,11880.84,438
17338,"2011-11-22 14:23:00",17,11880.54,17
18226,"2011-10-26 13:36:00",26,11878.88,44
13050,"2011-11-25 09:18:00",34,11877.29,14
14505,"2011-11-22 15:45:00",19,11873.08,17
14426,"2011-11-16 12:25:00",17,11727.94,23
13004,"2011-11-28 11:27:00",36,11650.85,11
14739,"2011-12-05 16:54:00",25,11573.62,4
13418,"2011-11-28 10:23:00",31,11559.66,11
15023,"2011-12-06 17:23:00",20,11555.50,3
15218,"2011-11-29 11:48:00",22,11453.83,10
13680,"2011-12-08 13:47:00",12,11419.67,1
13102,"2011-12-08 12:52:00",37,11380.10,1
12474,"2011-11-22 14:39:00",29,11310.75,17
14016,"2011-07-01 11:29:00",11,11303.41,161
15874,"2011-10-07 12:31:00",21,11284.76,63
12437,"2011-12-08 11:35:00",38,11282.40,1
15555,"2011-11-27 16:19:00",36,11233.78,12
13576,"2011-11-29 15:34:00",28,11202.59,10
12539,"2011-11-17 13:30:00",7,11186.75,22
14134,"2010-11-22 12:26:00",15,11123.35,382
12705,"2011-11-24 13:17:00",13,11114.10,15
13013,"2011-12-08 15:01:00",29,11097.43,1
12481,"2011-11-17 08:29:00",14,11033.51,22
15032,"2011-03-28 15:03:00",8,11010.05,256
14045,"2011-08-22 15:27:00",16,10986.63,109
16985,"2011-11-22 13:33:00",23,10923.16,17
18052,"2010-05-24 11:11:00",1,10877.18,564
12567,"2011-11-17 11:02:00",15,10741.48,22
16033,"2011-12-04 12:44:00",27,10608.81,5
13324,"2011-11-03 16:28:00",18,10513.47,36
15290,"2011-12-05 11:39:00",26,10496.28,4
12683,"2011-12-05 16:28:00",20,10445.70,4
14028,"2010-06-07 13:33:00",3,10396.50,550
16168,"2011-11-29 12:45:00",66,10360.67,10
16984,"2011-09-12 13:43:00",9,10350.53,88
15296,"2011-10-20 11:47:00",12,10323.03,50
14422,"2011-12-09 11:26:00",19,10271.52,0
17160,"2011-11-08 14:05:00",17,10209.16,31
15719,"2011-11-07 12:29:00",31,10194.32,32
14796,"2011-12-08 15:31:00",27,10167.77,1
18229,"2011-11-28 09:48:00",28,10150.51,11
15805,"2011-11-16 16:32:00",30,10148.93,23
18055,"2011-12-02 14:25:00",14,10142.64,7
16327,"2011-11-25 13:23:00",16,10129.04,14
12431,"2011-11-04 11:55:00",25,10102.22,35
17809,"2011-11-23 12:59:00",20,10085.89,16
13941,"2011-11-18 09:43:00",15,10027.18,21
13985,"2011-12-05 17:06:00",22,10020.86,4
15547,"2011-12-02 12:52:00",26,10002.65,7
14755,"2011-11-30 11:24:00",25,9972.55,9
16182,"2011-09-28 13:23:00",9,9971.65,72
15694,"2011-12-09 09:44:00",23,9963.48,0
14101,"2011-09-27 12:28:00",13,9961.93,73
16131,"2011-10-19 11:53:00",12,9957.42,51
18260,"2011-06-20 12:37:00",23,9947.26,172
17049,"2011-12-07 10:48:00",19,9942.53,2
16701,"2011-12-01 11:10:00",26,9916.73,8
12668,"2011-11-28 10:56:00",9,9906.03,11
12758,"2011-08-15 10:22:00",7,9903.24,116
14329,"2011-11-22 15:50:00",15,9887.62,17
14828,"2011-05-27 10:16:00",13,9839.46,196
13599,"2011-12-08 16:10:00",33,9811.04,1
16353,"2011-12-06 12:23:00",38,9795.46,3
12524,"2011-11-30 15:31:00",17,9794.11,9
17306,"2011-11-29 12:14:00",21,9782.35,10
13018,"2011-11-23 13:28:00",35,9763.16,16
13735,"2011-11-15 11:14:00",13,9762.77,24
14085,"2011-12-07 13:46:00",32,9705.67,2
14944,"2011-11-10 09:10:00",19,9684.67,29
12839,"2011-12-07 12:33:00",26,9669.12,2
16782,"2011-11-29 13:20:00",38,9636.12,10
17315,"2011-12-08 12:15:00",41,9559.50,1
18109,"2011-12-08 11:36:00",38,9555.71,1
15502,"2011-11-24 12:48:00",12,9542.92,15
14091,"2010-02-23 15:17:00",2,9530.08,654
17811,"2011-12-05 13:46:00",47,9513.10,4
13999,"2011-11-29 13:40:00",29,9502.26,10
17504,"2011-05-17 12:59:00",18,9490.17,206
14063,"2010-01-22 11:28:00",7,9471.50,686
14146,"2011-12-01 10:18:00",12,9450.30,8
14439,"2011-01-24 11:39:00",5,9443.04,319
13267,"2011-12-07 11:12:00",36,9429.81,2
17230,"2011-03-20 16:12:00",18,9388.49,264
15727,"2011-11-23 12:36:00",15,9371.71,16
15981,"2011-11-15 08:00:00",21,9362.77,24
12590,"2011-05-12 14:46:00",1,9341.26,211
13069,"2011-12-09 08:39:00",38,9284.45,0
13162,"2011-08-09 15:59:00",16,9275.49,122
15249,"2011-11-08 11:45:00",18,9266.00,31
14367,"2011-12-01 13:19:00",16,9227.82,8
14292,"2011-12-02 11:50:00",16,9226.25,7
17757,"2011-12-08 15:31:00",56,9070.10,1
15298,"2011-12-07 17:17:00",23,9061.77,2
16709,"2011-09-16 10:56:00",14,9056.01,84
13327,"2011-11-01 10:21:00",19,9052.87,38
15939,"2011-09-11 11:30:00",15,9004.84,89
17068,"2011-11-27 13:14:00",47,8980.18,12
15150,"2011-11-22 12:52:00",13,8977.94,17
15903,"2011-11-30 08:08:00",12,8939.84,9
12747,"2011-12-07 14:34:00",26,8898.48,2
14060,"2011-12-05 12:29:00",30,8898.24,4
13555,"2011-09-27 12:36:00",13,8891.84,73
14709,"2011-11-24 15:41:00",25,8886.33,15
12359,"2011-10-13 12:47:00",10,8873.39,57
15867,"2011-12-04 13:32:00",31,8869.87,5
14135,"2011-12-08 11:38:00",24,8839.67,1
16700,"2011-12-01 11:00:00",25,8830.77,8
16550,"2011-08-23 11:12:00",18,8807.68,108
15260,"2011-08-31 13:55:00",25,8767.73,100
12490,"2011-12-04 16:07:00",20,8764.64,5
16532,"2011-11-22 11:08:00",5,8756.64,17
15570,"2011-12-02 14:47:00",25,8736.49,7
16186,"2011-11-17 12:43:00",26,8718.43,22
12957,"2011-11-30 09:53:00",13,8706.97,9
17576,"2011-12-01 17:56:00",41,8705.60,8
15497,"2011-11-22 11:51:00",9,8657.39,17
13756,"2011-12-07 16:44:00",23,8655.95,2
13263,"2011-12-08 13:59:00",38,8650.98,1
13758,"2011-11-28 11:11:00",14,8595.29,11
16945,"2011-11-18 11:39:00",33,8548.16,21
15281,"2011-10-12 09:10:00",16,8543.57,58
13269,"2011-12-08 14:53:00",28,8537.32,1
15270,"2011-11-24 09:24:00",21,8524.86,15
12798,"2011-11-29 15:52:00",4,8510.93,10
13209,"2011-11-09 13:54:00",13,8509.51,30
15786,"2011-10-24 14:13:00",5,8501.62,46
13148,"2011-11-10 15:23:00",26,8488.32,29
14286,"2011-11-16 10:34:00",7,8479.76,23
18139,"2011-11-22 10:44:00",6,8438.34,17
13047,"2011-10-14 11:15:00",23,8423.58,56
14160,"2010-04-08 14:30:00",7,8421.47,610
15984,"2011-12-07 12:16:00",30,8393.02,2
17396,"2011-10-31 14:12:00",13,8391.60,39
13448,"2011-11-23 12:33:00",12,8386.22,16
14676,"2011-11-08 13:29:00",12,8356.79,31
14057,"2011-11-16 10:32:00",22,8346.66,23
13206,"2010-11-04 16:50:00",13,8308.19,400
17686,"2011-12-02 15:39:00",9,8296.81,7
17611,"2011-12-02 13:29:00",28,8287.53,7
15998,"2011-11-03 12:45:00",16,8274.14,36
15034,"2011-11-24 12:11:00",14,8231.20,15
13381,"2011-11-08 11:58:00",12,8224.37,31
13139,"2011-11-23 13:54:00",8,8202.98,16
16722,"2011-11-22 13:28:00",22,8189.56,17
17365,"2011-11-27 12:13:00",15,8179.45,12
13426,"2011-12-09 08:59:00",22,8167.38,0
13715,"2011-03-03 19:21:00",17,8153.04,281
14056,"2011-12-08 13:36:00",23,8152.71,1
12766,"2011-12-06 08:46:00",9,8134.99,3
16672,"2011-12-07 16:29:00",20,8134.94,2
17593,"2011-12-06 10:30:00",11,8092.32,3
15955,"2011-11-15 14:15:00",22,8085.98,24
12637,"2011-10-03 13:46:00",12,8085.81,67
17426,"2011-12-01 18:07:00",13,8077.77,8
16767,"2011-11-09 09:42:00",15,8052.41,30
16670,"2011-11-23 09:34:00",20,8030.15,16
18041,"2011-11-28 11:39:00",38,8018.77,11
14525,"2011-11-20 11:37:00",17,8018.59,19
16556,"2011-10-04 11:36:00",17,8012.58,66
13869,"2011-08-08 13:53:00",10,7996.87,123
13174,"2011-11-23 14:35:00",11,7972.46,16
16303,"2011-11-14 10:49:00",7,7928.27,25
14291,"2011-12-08 10:26:00",23,7904.10,1
13871,"2011-11-17 10:49:00",17,7885.85,22
15622,"2011-10-27 16:44:00",17,7852.61,43
14159,"2011-11-20 12:36:00",20,7849.58,19
17085,"2011-08-08 14:15:00",28,7839.27,123
12867,"2011-11-13 15:30:00",13,7829.26,26
16592,"2011-12-05 13:49:00",28,7807.91,4
15544,"2011-11-30 16:43:00",20,7807.89,9
12643,"2011-08-03 12:56:00",11,7803.82,128
14395,"2011-12-07 14:34:00",20,7801.93,2
17409,"2011-06-08 10:36:00",10,7793.51,184
17730,"2011-12-06 15:43:00",20,7773.80,3
17739,"2011-11-28 09:12:00",18,7730.59,11
13534,"2011-12-07 14:52:00",35,7720.90,2
17696,"2011-11-01 13:43:00",27,7679.59,38
14175,"2011-10-11 11:55:00",8,7678.88,59
13141,"2011-09-16 09:54:00",17,7656.08,84
15046,"2011-11-30 15:50:00",25,7604.84,9
14145,"2011-10-24 12:10:00",7,7600.05,46
13373,"2011-10-10 10:51:00",6,7587.19,60
13137,"2011-11-29 12:09:00",16,7586.94,10
13709,"2011-12-06 10:28:00",18,7571.35,3
14030,"2011-11-21 16:48:00",20,7521.80,18
17091,"2011-12-07 10:43:00",19,7495.75,2
15179,"2011-11-21 12:53:00",13,7491.92,18
16570,"2011-11-24 17:02:00",20,7434.31,15
16242,"2011-12-01 15:12:00",14,7404.65,8
17602,"2011-12-07 13:53:00",14,7354.43,2
13082,"2011-08-05 16:16:00",21,7335.75,126
17238,"2011-12-07 11:35:00",32,7331.17,2
14282,"2011-12-06 17:04:00",25,7250.76,3
14092,"2011-12-02 12:13:00",24,7229.45,7
16253,"2011-10-04 09:09:00",7,7222.20,66
14243,"2011-12-01 11:12:00",17,7217.75,8
12380,"2011-11-18 11:27:00",8,7210.65,21
16729,"2011-11-01 14:29:00",21,7202.01,38
14688,"2011-12-02 12:26:00",28,7190.42,7
16745,"2011-09-14 11:58:00",17,7180.70,86
14800,"2011-10-23 12:46:00",17,7180.08,47
14841,"2011-10-17 15:03:00",14,7163.00,53
15950,"2011-11-08 11:09:00",10,7120.91,31
14113,"2011-12-06 12:18:00",16,7092.61,3
13451,"2011-11-13 15:58:00",11,7088.92,26
15521,"2011-10-30 13:42:00",16,7087.64,40
17231,"2011-11-27 15:18:00",25,7064.80,12
17769,"2011-11-27 11:18:00",17,7053.38,12
13183,"2011-12-02 10:30:00",15,7036.18,7
17965,"2011-11-02 09:31:00",29,7002.90,37
16938,"2011-12-01 10:20:00",9,6995.36,8
17690,"2011-11-09 15:17:00",20,6963.80,30
12841,"2011-12-05 11:13:00",40,6958.20,4
13552,"2011-10-04 15:19:00",22,6948.92,66
16187,"2011-11-08 09:50:00",15,6911.44,31
15301,"2011-10-20 09:57:00",17,6909.67,50
12720,"2011-12-07 08:03:00",29,6905.28,2
16170,"2011-10-20 08:21:00",20,6869.00,50
15129,"2011-10-20 14:40:00",23,6860.18,50
18231,"2011-05-31 14:18:00",28,6848.27,192
16401,"2011-12-08 18:15:00",23,6847.45,1
12749,"2011-12-06 09:56:00",9,6847.36,3
12830,"2011-11-02 11:54:00",6,6814.64,37
16145,"2011-12-01 10:33:00",19,6805.44,8
15413,"2010-01-17 11:33:00",5,6798.72,691
14401,"2011-12-05 13:30:00",22,6795.90,4
13993,"2011-10-28 09:06:00",19,6775.71,42
13983,"2011-11-10 11:06:00",21,6753.89,29
13815,"2011-11-17 14:19:00",8,6737.74,22
15321,"2011-09-30 09:40:00",12,6709.73,70
14844,"2011-10-07 10:41:00",10,6702.43,63
13734,"2010-07-19 12:04:00",4,6695.69,508
16497,"2011-10-21 10:55:00",23,6695.28,49
17975,"2011-11-24 13:27:00",24,6693.03,15
16265,"2011-11-30 16:41:00",12,6685.17,9
13384,"2011-11-09 11:04:00",11,6680.83,30
17700,"2011-11-23 11:51:00",14,6679.97,16
14461,"2011-07-14 17:11:00",13,6676.52,148
16717,"2011-11-16 12:16:00",14,6663.68,23
17001,"2011-12-09 09:38:00",19,6640.80,0
13953,"2011-12-02 16:04:00",12,6640.68,7
14562,"2011-12-06 11:05:00",26,6638.15,3
13394,"2011-12-08 11:36:00",19,6621.70,1
15674,"2011-09-27 15:17:00",12,6613.52,73
13831,"2011-11-23 15:41:00",18,6585.54,16
13015,"2011-10-17 13:19:00",11,6579.78,53
12836,"2011-10-11 15:10:00",15,6559.73,59
15980,"2011-09-12 09:41:00",7,6543.68,88
13883,"2011-11-29 10:45:00",14,6535.37,10
14855,"2011-08-12 14:02:00",7,6520.30,119
14221,"2011-10-28 13:42:00",17,6517.49,42
12823,"2011-09-26 07:35:00",18,6501.50,74
13317,"2011-10-04 13:35:00",19,6486.09,66
12779,"2011-11-02 11:43:00",14,6474.11,37
12843,"2011-10-05 12:09:00",28,6461.87,65
14154,"2011-04-14 16:26:00",8,6460.70,239
15750,"2011-12-07 12:34:00",18,6452.99,2
16940,"2011-10-18 13:15:00",8,6427.66,52
16655,"2011-11-22 11:25:00",13,6423.26,17
12428,"2011-11-14 08:22:00",8,6405.26,25
18094,"2011-09-19 09:28:00",13,6391.52,81
12406,"2011-11-17 19:22:00",5,6390.36,22
15514,"2011-11-27 14:40:00",18,6388.28,12
14388,"2011-11-29 13:32:00",16,6388.20,10
14766,"2011-12-01 16:05:00",11,6375.73,8
14227,"2011-11-13 15:48:00",15,6366.16,26
14702,"2011-12-08 19:29:00",29,6356.98,1
13590,"2011-11-28 12:54:00",18,6336.04,11
18245,"2011-12-02 14:48:00",20,6324.98,7
13654,"2011-10-27 16:24:00",11,6308.00,43
12913,"2011-12-05 12:11:00",13,6283.24,4
12613,"2011-10-13 14:59:00",9,6277.37,57
13136,"2011-10-14 13:41:00",13,6274.56,56
13615,"2011-01-25 08:21:00",8,6272.53,318
14004,"2011-10-27 14:40:00",11,6258.45,43
15369,"2010-08-04 13:54:00",11,6251.26,492
17799,"2011-11-17 15:16:00",20,6246.93,22
18118,"2011-11-29 11:32:00",29,6218.62,10
16735,"2011-09-22 11:49:00",14,6217.41,78
15673,"2011-09-12 16:12:00",9,6204.32,88
13334,"2011-09-18 15:21:00",5,6201.80,82
16103,"2011-12-02 14:16:00",22,6191.71,7
16156,"2011-12-01 12:42:00",20,6188.18,8
14534,"2011-12-07 12:19:00",26,6183.06,2
14390,"2011-11-29 13:49:00",13,6150.03,10
17669,"2011-10-28 08:53:00",10,6142.35,42
17873,"2011-09-20 16:41:00",18,6135.95,80
13266,"2011-11-28 14:39:00",19,6135.04,11
14852,"2011-10-12 13:20:00",18,6132.43,58
12662,"2011-12-09 11:59:00",20,6130.54,0
